# Первоубиенный и лучший ход исторических игр, снятые с mafiauniverse (сентябрь 2026).
# Импорт истории принёс только ник/место/роль/итог, а ПУ и ЛХ там есть — без них у легаси-игр
# не считались ЛХ, Ci, «точность ЛХ», ачивки и рекорды.
#
# Формат: источник|дата|номер игры в источнике|место ПУ|места ЛХ|бонус ЛХ у них|ники по местам 1..10
# Состав стола — главный ключ сопоставления: дата и номер игры у источника и у нас могли разойтись
# (855 залит одной датой, у ночных игр дата зависит от часового пояса), а состав по местам
# совпадает однозначно. Дата — как в списке игр mafiauniverse (по ней собирался импорт вечеров).
# Бонус пустой — ЛХ не принёс очков. Игры без первоубиенного сюда не попали.
#
# 855 — Сезон 2022/2023; 893 — Сезон 2023/2024; 1355 — Стол для обучения и отдыха 2023/2024;
# 3557 — Сезон 2024/2025.
855|2023-08-27|28|3|2,6,9|0.25|Дровосек;Арт;осиновый кол;Грейс;Тони Монтана;Амберман;Бант.;Кефтеме;Клей;Nomen
855|2023-08-27|27|3|5,7,8||Грейс;Оранжевый;Шамиль;Клей;Кефтеме;Аффинаж;Бант.;осиновый кол;Тайса;Дровосек
855|2023-08-27|25|1|3,8,1||Кефтеме;Тайса;Бант.;осиновый кол;Грейс;Аффинаж;Дровосек;Шамиль;Оранжевый;Клей
855|2023-08-27|24|7|4,5,1||Оранжевый;Тайса;Клей;Грейс;Шамиль;осиновый кол;Кефтеме;Аффинаж;Дровосек;Бант.
855|2023-08-27|23|7|2,5,1||Аффинаж;Шамиль;Бант.;Дровосек;Кефтеме;Тайса;Клей;осиновый кол;Оранжевый;Грейс
855|2023-08-27|22|2|3,4,7||осиновый кол;Шамиль;Бант.;Кефтеме;Тайса;Оранжевый;Клей;Грейс;Дровосек;Аффинаж
855|2023-08-27|19|3|4,6,9||Грейс;Амберман;Деканат;Тайса;Бант.;Клей;Дровосек;Асмодея;Кефтеме;Оранжевый
855|2023-08-27|18|3|4,8,9|0.25|Ёжик в кедах;Оранжевый;Кефтеме;Бант.;Деканат;Дровосек;Клей;Грейс;Асмодея;Аффинаж
855|2023-08-27|17|10|3,5,8|0.25|Тайса;Асмодея;осиновый кол;Грейс;Клей;Бант.;Ёжик в кедах;Амберман;Пепел;Оранжевый
855|2023-08-27|16|2|4,8,9||Клей;Бант.;Аффинаж;Оранжевый;Дровосек;осиновый кол;Деканат;Асмодея;Грейс;Кефтеме
855|2023-08-27|15|4|5,6,1||Кефтеме;Дровосек;Тайса;Ёжик в кедах;Аффинаж;Бант.;Эд;Cold Cloud;Отто;Косатка
